title	score	score_num	pic	link
肖申克的救赎	9.6	819309人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480747492.jpg	https://movie.douban.com/subject/1292052/
这个杀手不太冷	9.4	786434人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p511118051.jpg	https://movie.douban.com/subject/1295644/
霸王别姬	9.5	584377人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910813120.jpg	https://movie.douban.com/subject/1291546/
阿甘正传	9.4	674860人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p510876377.jpg	https://movie.douban.com/subject/1292720/
美丽人生	9.5	391161人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p510861873.jpg	https://movie.douban.com/subject/1292063/
千与千寻	9.2	626584人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910830216.jpg	https://movie.douban.com/subject/1291561/
辛德勒的名单	9.4	362252人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p492406163.jpg	https://movie.douban.com/subject/1295124/
泰坦尼克号	9.2	620952人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p457760035.jpg	https://movie.douban.com/subject/1292722/
盗梦空间	9.2	728905人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p513344864.jpg	https://movie.douban.com/subject/3541415/
机器人总动员	9.3	478741人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p449665982.jpg	https://movie.douban.com/subject/2131459/
海上钢琴师	9.2	574298人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p511146957.jpg	https://movie.douban.com/subject/1292001/
三傻大闹宝莱坞	9.1	633871人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p579729551.jpg	https://movie.douban.com/subject/3793023/
忠犬八公的故事	9.2	426958人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p524964016.jpg	https://movie.douban.com/subject/3011091/
放牛班的春天	9.2	430010人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910824951.jpg	https://movie.douban.com/subject/1291549/
大话西游之大圣娶亲	9.2	461720人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2455050536.jpg	https://movie.douban.com/subject/1292213/
教父	9.2	327887人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910907404.jpg	https://movie.douban.com/subject/1291841/
龙猫	9.1	398777人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1910829638.jpg	https://movie.douban.com/subject/1291560/
楚门的世界	9.0	425221人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p479682972.jpg	https://movie.douban.com/subject/1292064/
乱世佳人	9.2	259898人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1963126880.jpg	https://movie.douban.com/subject/1300267/
天堂电影院	9.1	296870人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910901025.jpg	https://movie.douban.com/subject/1291828/
