movie_title,movie_quote,movie_score,movie_evaluate,link
肖申克的救赎,"
                                希望让人自由。
                            ",9.6,820659人评价,https://dae-pre25.dapps.douban.com/subject/1292052/
这个杀手不太冷,"
                                怪蜀黍和小萝莉不得不说的故事。
                            ",9.4,787668人评价,https://dae-pre25.dapps.douban.com/subject/1295644/
霸王别姬,"
                                风华绝代。
                            ",9.5,585517人评价,https://dae-pre25.dapps.douban.com/subject/1291546/
阿甘正传,"
                                一部美国近现代史。
                            ",9.4,675886人评价,https://dae-pre25.dapps.douban.com/subject/1292720/
美丽人生,"
                                最美的谎言。
                            ",9.5,391974人评价,https://dae-pre25.dapps.douban.com/subject/1292063/
千与千寻,"
                                最好的宫崎骏，最好的久石让。 
                            ",9.2,627573人评价,https://dae-pre25.dapps.douban.com/subject/1291561/
辛德勒的名单,"
                                拯救一个人，就是拯救整个世界。
                            ",9.4,362910人评价,https://dae-pre25.dapps.douban.com/subject/1295124/
泰坦尼克号,"
                                失去的才是永恒的。 
                            ",9.2,621937人评价,https://dae-pre25.dapps.douban.com/subject/1292722/
盗梦空间,"
                                诺兰给了我们一场无法盗取的梦。
                            ",9.2,729786人评价,https://dae-pre25.dapps.douban.com/subject/3541415/
机器人总动员,"
                                小瓦力，大人生。
                            ",9.3,479271人评价,https://dae-pre25.dapps.douban.com/subject/2131459/
海上钢琴师,"
                                每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
                            ",9.2,575105人评价,https://dae-pre25.dapps.douban.com/subject/1292001/
三傻大闹宝莱坞,"
                                英俊版憨豆，高情商版谢耳朵。
                            ",9.1,635812人评价,https://dae-pre25.dapps.douban.com/subject/3793023/
忠犬八公的故事,"
                                永远都不能忘记你所爱的人。
                            ",9.2,427821人评价,https://dae-pre25.dapps.douban.com/subject/3011091/
放牛班的春天,"
                                天籁一般的童声，是最接近上帝的存在。 
                            ",9.2,430600人评价,https://dae-pre25.dapps.douban.com/subject/1291549/
大话西游之大圣娶亲,"
                                一生所爱。
                            ",9.2,462735人评价,https://dae-pre25.dapps.douban.com/subject/1292213/
教父,"
                                千万不要记恨你的对手，这样会让你失去理智。
                            ",9.2,328336人评价,https://dae-pre25.dapps.douban.com/subject/1291841/
龙猫,"
                                人人心中都有个龙猫，童年就永远不会消失。
                            ",9.1,399353人评价,https://dae-pre25.dapps.douban.com/subject/1291560/
楚门的世界,"
                                如果再也不能见到你，祝你早安，午安，晚安。
                            ",9,425959人评价,https://dae-pre25.dapps.douban.com/subject/1292064/
乱世佳人,"
                                Tomorrow is another day.
                            ",9.2,260217人评价,https://dae-pre25.dapps.douban.com/subject/1300267/
天堂电影院,"
                                那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
                            ",9.1,297315人评价,https://dae-pre25.dapps.douban.com/subject/1291828/
当幸福来敲门,"
                                平民励志片。 
                            ",8.9,515604人评价,https://dae-pre25.dapps.douban.com/subject/1849031/
触不可及,"
                                满满温情的高雅喜剧。
                            ",9.1,348863人评价,https://dae-pre25.dapps.douban.com/subject/6786002/
搏击俱乐部,"
                                邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
                            ",9,390146人评价,https://dae-pre25.dapps.douban.com/subject/1292000/
十二怒汉,"
                                1957年的理想主义。 
                            ",9.3,162112人评价,https://dae-pre25.dapps.douban.com/subject/1293182/
无间道,"
                                香港电影史上永不过时的杰作。
                            ",9,377489人评价,https://dae-pre25.dapps.douban.com/subject/1307914/
指环王3：王者无敌,"
                                史诗的终章。
                            ",9.1,273587人评价,https://movie.douban.com/subject/1291552/
熔炉,"
                                我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
                            ",9.2,228382人评价,https://movie.douban.com/subject/5912992/
怦然心动,"
                                真正的幸福是来自内心深处。
                            ",8.9,513953人评价,https://movie.douban.com/subject/3319755/
天空之城,"
                                对天空的追逐，永不停止。 
                            ",9,316525人评价,https://movie.douban.com/subject/1291583/
罗马假日,"
                                爱情哪怕只有一天。
                            ",8.9,369397人评价,https://movie.douban.com/subject/1293839/
少年派的奇幻漂流,"
                                瑰丽壮观、无人能及的冒险之旅。
                            ",9,556083人评价,https://movie.douban.com/subject/1929463/
大话西游之月光宝盒,"
                                旷古烁今。
                            ",8.9,376258人评价,https://movie.douban.com/subject/1299398/
鬼子来了,"
                                对敌人的仁慈，就是对自己残忍。
                            ",9.1,214805人评价,https://movie.douban.com/subject/1291858/
蝙蝠侠：黑暗骑士,"
                                无尽的黑暗。
                            ",9,299889人评价,https://movie.douban.com/subject/1851857/
星际穿越,"
                                爱是一种力量，让我们超越时空感知它的存在。
                            ",9.1,455870人评价,https://movie.douban.com/subject/1889243/
两杆大烟枪,"
                                4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
                            ",9,262275人评价,https://movie.douban.com/subject/1293350/
飞屋环游记,"
                                最后那些最无聊的事情，才是最值得怀念的。 
                            ",8.9,478365人评价,https://movie.douban.com/subject/2129039/
活着,"
                                张艺谋最好的电影。
                            ",9,248817人评价,https://movie.douban.com/subject/1292365/
飞越疯人院,"
                                自由万岁。
                            ",9,265961人评价,https://movie.douban.com/subject/1292224/
窃听风暴,"
                                别样人生。
                            ",9.1,209941人评价,https://movie.douban.com/subject/1900841/
海豚湾,"
                                海豚的微笑，是世界上最高明的伪装。
                            ",9.3,175535人评价,https://movie.douban.com/subject/3442220/
闻香识女人,"
                                史上最美的探戈。
                            ",8.9,305497人评价,https://movie.douban.com/subject/1298624/
V字仇杀队,"
                                一张面具背后的理想与革命。
                            ",8.8,391728人评价,https://movie.douban.com/subject/1309046/
美丽心灵,"
                                爱是一切逻辑和原由。
                            ",8.9,290884人评价,https://movie.douban.com/subject/1306029/
教父2,"
                                优雅的孤独。
                            ",9.1,177062人评价,https://movie.douban.com/subject/1299131/
哈尔的移动城堡,"
                                带着心爱的人在天空飞翔。
                            ",8.8,327878人评价,https://movie.douban.com/subject/1308807/
