"","电影名","链接","导演","主演","发行年份","发行国家","影片类型","影片评分","评价人数"
"1","肖申克的救赎","https://movie.douban.com/subject/1292052/","导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...","主演:蒂姆·罗宾斯TimRobbins/...","1994","美国","犯罪剧情","9.6","820235人评价"
"2","这个杀手不太冷","https://movie.douban.com/subject/1295644/","导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔丽·波特曼...","主演:让·雷诺JeanReno/娜塔丽·波特曼...","1994","法国","剧情动作犯罪","9.4","787402人评价"
"3","霸王别姬","https://movie.douban.com/subject/1291546/","导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...","主演:张国荣LeslieCheung/张丰毅FengyiZha...","1993","中国大陆香港","剧情爱情同性","9.5","585220人评价"
"4","阿甘正传","https://movie.douban.com/subject/1292720/","导演:RobertZemeckis   主演:TomHanks/RobinWrightPenn/GarySinise","主演:TomHanks/RobinWrightPenn/GarySinise","1994","美国","剧情爱情","9.4","675560人评价"
"5","美丽人生","https://movie.douban.com/subject/1292063/","导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...","主演:罗伯托·贝尼尼RobertoBeni...","1997","意大利","剧情喜剧爱情战争","9.5","391761人评价"
"6","千与千寻","https://movie.douban.com/subject/1291561/","导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiH<U+00EE>ragi/入野自由Miy...","主演:柊瑠美RumiH<U+00EE>ragi/入野自由Miy...","2001","日本","剧情动画奇幻","9.2","627283人评价"
"7","辛德勒的名单","https://movie.douban.com/subject/1295124/","导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...","主演:连姆·尼森LiamNeeson...","1993","美国","剧情历史战争","9.4","362756人评价"
"8","泰坦尼克号","https://movie.douban.com/subject/1292722/","导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...","主演:莱昂纳多·迪卡普里奥Leonardo...","1997","美国","剧情爱情灾难","9.2","621692人评价"
"9","盗梦空间","https://movie.douban.com/subject/3541415/","导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...","主演:莱昂纳多·迪卡普里奥Le...","2010","美国英国","剧情动作科幻悬疑冒险","9.2","729579人评价"
"10","机器人总动员","https://movie.douban.com/subject/2131459/","导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...","主演:本·贝尔特BenBurtt/艾丽...","2008","美国","喜剧爱情科幻动画冒险","9.3","479110人评价"
"11","海上钢琴师","https://movie.douban.com/subject/1292001/","导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...","主演:蒂姆·罗斯TimRoth/...","1998","意大利","剧情音乐","9.2","574890人评价"
