"cname1" "ename1" "pingfen1" "pingjia1" "link1" "cname2" "ename2" "pingfen2" "pingjia2" "link2" "cname3" "ename3" "pingfen3" "pingjia3" "link3" "cname4" "ename4" "pingfen4" "pingjia4" "link4" "cname5" "ename5" "pingfen5" "pingjia5" "link5" "cname6" "ename6" "pingfen6" "pingjia6" "link6" "cname7" "ename7" "pingfen7" "pingjia7" "link7" "cname8" "ename8" "pingfen8" "pingjia8" "link8" "cname9" "ename9" "pingfen9" "pingjia9" "link9" "cname10" "ename10" "pingfen10" "pingjia10" "link10"
"1" "肖申克的救赎" "<U+00A0>/<U+00A0>The Shawshank Redemption" "9.6" "希望让人自由。" "https://movie.douban.com/subject/1292052/" "指环王3：王者无敌" "<U+00A0>/<U+00A0>The Lord of the Rings: The Return of the King" "9.1" "史诗的终章。" "https://movie.douban.com/subject/1291552/" "死亡诗社" "<U+00A0>/<U+00A0>Dead Poets Society" "8.9" "当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。" "https://movie.douban.com/subject/1291548/" "幽灵公主" "<U+00A0>/<U+00A0>もののけ姫" "8.8" "人与自然的战争史诗。" "https://movie.douban.com/subject/1297359/" "爱在日落黄昏时" "<U+00A0>/<U+00A0>Before Sunset" "8.7" "九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。" "https://movie.douban.com/subject/1291990/" "贫民窟的百万富翁" "<U+00A0>/<U+00A0>Slumdog Millionaire" "8.5" "上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁" "https://movie.douban.com/subject/2209573/" "我是山姆" "<U+00A0>/<U+00A0>I Am Sam" "8.8" "爱并不需要智商 。" "https://movie.douban.com/subject/1306861/" "阿飞正传" "<U+00A0>/<U+00A0>阿飛正傳" "8.5" "王家卫是一种风格，张国荣是一个代表。" "https://movie.douban.com/subject/1305690/" "E.T. 外星人" "<U+00A0>/<U+00A0>E.T.: The Extra-Terrestrial" "8.5" "生病的E.T.皮肤的颜色就像柿子饼。" "https://movie.douban.com/subject/1294638/" "大卫·戈尔的一生" "<U+00A0>/<U+00A0>The Life of David Gale" "8.7" "捍卫人权只是信仰，一点不妨碍其行为的残忍。" "https://movie.douban.com/subject/1305725/"
"2" "这个杀手不太冷" "<U+00A0>/<U+00A0>Léon" "9.4" "怪蜀黍和小萝莉不得不说的故事。" "https://movie.douban.com/subject/1295644/" "熔炉" "<U+00A0>/<U+00A0><U+B3C4><U+AC00><U+B2C8>" "9.2" "我们一路奋战不是为了改变世界，而是为了不让世界改变我们。" "https://movie.douban.com/subject/5912992/" "美国往事" "<U+00A0>/<U+00A0>Once Upon a Time in America" "9.1" "往事如烟，无处祭奠。" "https://movie.douban.com/subject/1292262/" "第六感" "<U+00A0>/<U+00A0>The Sixth Sense" "8.8" "深入内心的恐怖，出人意料的结局。" "https://movie.douban.com/subject/1297630/" "猫鼠游戏" "<U+00A0>/<U+00A0>Catch Me If You Can" "8.7" "骗子大师和执著警探的你追我跑故事。 " "https://movie.douban.com/subject/1305487/" "东邪西毒" "<U+00A0>/<U+00A0>東邪西毒" "8.6" "电影诗。" "https://movie.douban.com/subject/1292328/" "香水" "<U+00A0>/<U+00A0>Perfume: The Story of a Murderer" "8.4" "一个单凭体香达到高潮的男人。" "https://movie.douban.com/subject/1760622/" "荒蛮故事" "<U+00A0>/<U+00A0>Relatos salvajes" "8.7" "0" "https://movie.douban.com/subject/24750126/" "叫我第一名" "<U+00A0>/<U+00A0>Front of the Class" "8.6" "乐观比一切都有力量。" "https://movie.douban.com/subject/4798888/" "与狼共舞" "<U+00A0>/<U+00A0>Dances with Wolves" "8.9" "充满诗意与情怀的史诗作品。 " "https://movie.douban.com/subject/1293764/"
"3" "霸王别姬" "<U+00A0>/<U+00A0>再见，我的妾  /  Farewell My Concubine" "9.5" "风华绝代。" "https://movie.douban.com/subject/1291546/" "怦然心动" "<U+00A0>/<U+00A0>Flipped" "8.9" "真正的幸福是来自内心深处。" "https://movie.douban.com/subject/3319755/" "七宗罪" "<U+00A0>/<U+00A0>Se7en" "8.7" "警察抓小偷，老鼠玩死猫。" "https://movie.douban.com/subject/1292223/" "阳光灿烂的日子" "<U+00A0>/<U+00A0>In the Heat of the Sun" "8.7" "一场华丽的意淫。" "https://movie.douban.com/subject/1291875/" "侧耳倾听" "<U+00A0>/<U+00A0>耳をすませば" "8.8" "少女情怀总是诗。" "https://movie.douban.com/subject/1297052/" "记忆碎片" "<U+00A0>/<U+00A0>Memento" "8.5" "一个针管引发的血案。" "https://movie.douban.com/subject/1304447/" "浪潮" "<U+00A0>/<U+00A0>Die Welle" "8.7" "世界离独裁只有五天。" "https://movie.douban.com/subject/2297265/" "地球上的星星" "<U+00A0>/<U+00A0>Taare Zameen Par" "8.8" "天使保护事件始末。" "https://movie.douban.com/subject/2363506/" "忠犬八公物语" "<U+00A0>/<U+00A0>ハチ公物語" "9.0" "养狗三日，便会对你终其一生。" "https://movie.douban.com/subject/1959195/" "血钻" "<U+00A0>/<U+00A0>Blood Diamond" "8.5" "0" "https://movie.douban.com/subject/1428175/"
"4" "阿甘正传" "<U+00A0>/<U+00A0>Forrest Gump" "9.4" "一部美国近现代史。" "https://movie.douban.com/subject/1292720/" "天空之城" "<U+00A0>/<U+00A0>天空の城ラピュタ" "9.0" "对天空的追逐，永不停止。 " "https://movie.douban.com/subject/1291583/" "钢琴家" "<U+00A0>/<U+00A0>The Pianist" "9.0" "音乐能化解仇恨。" "https://movie.douban.com/subject/1296736/" "让子弹飞" "<U+00A0>/<U+00A0>让子弹飞一会儿  /  火烧云" "8.7" "你给我翻译翻译，神马叫做TMD的惊喜。" "https://movie.douban.com/subject/3742360/" "末代皇帝" "<U+00A0>/<U+00A0>The Last Emperor" "8.8" "“不要跟我比惨，我比你更惨”再适合这部电影不过了。" "https://movie.douban.com/subject/1293172/" "疯狂原始人" "<U+00A0>/<U+00A0>The Croods" "8.7" "老少皆宜，这就是好莱坞动画的魅力。" "https://movie.douban.com/subject/1907966/" "冰川时代" "<U+00A0>/<U+00A0>Ice Age" "8.4" "松鼠才是角儿。" "https://movie.douban.com/subject/1291578/" "小森林 冬春篇" "<U+00A0>/<U+00A0>リトル<U+30FB>フォレスト 冬<U+30FB>春" "8.9" "最美的飞翔。" "https://movie.douban.com/subject/25814707/" "哪吒闹海" "<U+00A0>/<U+00A0>Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai" "8.8" "想你时你在闹海。" "https://movie.douban.com/subject/1307315/" "模仿游戏" "<U+00A0>/<U+00A0>The Imitation Game" "8.5" "每个美丽事物背后都是滴血的现实。" "https://movie.douban.com/subject/10463953/"
"5" "美丽人生" "<U+00A0>/<U+00A0>La vita è bella" "9.5" "最美的谎言。" "https://movie.douban.com/subject/1292063/" "罗马假日" "<U+00A0>/<U+00A0>Roman Holiday" "8.9" "爱情哪怕只有一天。" "https://movie.douban.com/subject/1293839/" "狮子王" "<U+00A0>/<U+00A0>The Lion King" "8.9" "动物版《哈姆雷特》。" "https://movie.douban.com/subject/1301753/" "春光乍泄" "<U+00A0>/<U+00A0>春光乍洩" "8.8" "爱情纠缠，男女一致。" "https://movie.douban.com/subject/1292679/" "驯龙高手" "<U+00A0>/<U+00A0>How to Train Your Dragon" "8.7" "和谐的生活离不开摸头与被摸头。" "https://movie.douban.com/subject/2353023/" "杀人回忆" "<U+00A0>/<U+00A0><U+C0B4><U+C778><U+C758> <U+CD94><U+C5B5>" "8.6" "关于连环杀人悬案的集体回忆。" "https://movie.douban.com/subject/1300299/" "7号房的礼物" "<U+00A0>/<U+00A0>7<U+BC88><U+BC29><U+C758> <U+C120><U+BB3C>" "8.7" "《我是山姆》的《美丽人生》。" "https://movie.douban.com/subject/10777687/" "迁徙的鸟" "<U+00A0>/<U+00A0>Le peuple migrateur" "9.1" "0" "https://movie.douban.com/subject/1292281/" "发条橙" "<U+00A0>/<U+00A0>A Clockwork Orange" "8.4" "我完全康复了。" "https://movie.douban.com/subject/1292233/" "国王的演讲" "<U+00A0>/<U+00A0>The King's Speech" "8.3" "皇上无话儿。" "https://movie.douban.com/subject/4023638/"
"6" "千与千寻" "<U+00A0>/<U+00A0>千と千尋の神隠し" "9.2" "最好的宫崎骏，最好的久石让。 " "https://movie.douban.com/subject/1291561/" "少年派的奇幻漂流" "<U+00A0>/<U+00A0>Life of Pi" "9.0" "瑰丽壮观、无人能及的冒险之旅。" "https://movie.douban.com/subject/1929463/" "被嫌弃的松子的一生" "<U+00A0>/<U+00A0>嫌われ松子の一生" "8.9" "以戏谑来戏谑戏谑。" "https://movie.douban.com/subject/1787291/" "大鱼" "<U+00A0>/<U+00A0>Big Fish" "8.7" "抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。" "https://movie.douban.com/subject/1291545/" "哈利·波特与魔法石" "<U+00A0>/<U+00A0>Harry Potter and the Sorcerer's Stone" "8.6" "童话世界的开端。" "https://movie.douban.com/subject/1295038/" "怪兽电力公司" "<U+00A0>/<U+00A0>Monsters, Inc." "8.6" "不要给它起名字，起了名字就有感情了。" "https://movie.douban.com/subject/1291579/" "撞车" "<U+00A0>/<U+00A0>Crash" "8.6" "天使与魔鬼的冲撞。" "https://movie.douban.com/subject/1388216/" "荒野生存" "<U+00A0>/<U+00A0>Into the Wild" "8.6" "出门必备：本草纲目。" "https://movie.douban.com/subject/1905462/" "青蛇" "<U+00A0>/<U+00A0>Green Snake" "8.4" "人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。" "https://movie.douban.com/subject/1303394/" "遗愿清单" "<U+00A0>/<U+00A0>The Bucket List" "8.5" "用剩余不多的时间，去燃烧整个生命。" "https://movie.douban.com/subject/1867345/"
"7" "辛德勒的名单" "<U+00A0>/<U+00A0>Schindler's List" "9.4" "拯救一个人，就是拯救整个世界。" "https://movie.douban.com/subject/1295124/" "大话西游之月光宝盒" "<U+00A0>/<U+00A0>西遊記第壹佰零壹回之月光寶盒" "8.9" "旷古烁今。" "https://movie.douban.com/subject/1299398/" "致命魔术" "<U+00A0>/<U+00A0>The Prestige" "8.8" "孪生蝙蝠侠大战克隆金刚狼。" "https://movie.douban.com/subject/1780330/" "大闹天宫" "<U+00A0>/<U+00A0>大闹天宫 上下集  /  The Monkey King" "9.2" "经典之作，历久弥新。" "https://movie.douban.com/subject/1418019/" "超脱" "<U+00A0>/<U+00A0>Detachment" "8.7" "穷尽一生，我们要学会的，不过是彼此拥抱。" "https://movie.douban.com/subject/5322596/" "红辣椒" "<U+00A0>/<U+00A0>パプリカ" "8.8" "梦的勾结。" "https://movie.douban.com/subject/1865703/" "哈利·波特与死亡圣器(下)" "<U+00A0>/<U+00A0>Harry Potter and the Deathly Hallows: Part 2" "8.6" "10年的完美句点。" "https://movie.douban.com/subject/3011235/" "恐怖游轮" "<U+00A0>/<U+00A0>Triangle" "8.3" "不要企图在重复中寻找已经失去的爱。" "https://movie.douban.com/subject/3011051/" "穆赫兰道" "<U+00A0>/<U+00A0>Mulholland Dr." "8.3" "大卫·林奇的梦境迷宫。" "https://movie.douban.com/subject/1292217/" "巴黎淘气帮" "<U+00A0>/<U+00A0>Le petit Nicolas" "8.6" "四百击的反面。" "https://movie.douban.com/subject/3157605/"
"8" "泰坦尼克号" "<U+00A0>/<U+00A0>Titanic" "9.2" "失去的才是永恒的。 " "https://movie.douban.com/subject/1292722/" "鬼子来了" "<U+00A0>/<U+00A0>Devils on the Doorstep" "9.1" "对敌人的仁慈，就是对自己残忍。" "https://movie.douban.com/subject/1291858/" "辩护人" "<U+00A0>/<U+00A0><U+BCC0><U+D638><U+C778>" "9.1" "电影的现实意义大过电影本身。" "https://movie.douban.com/subject/21937445/" "射雕英雄传之东成西就" "<U+00A0>/<U+00A0>射鵰英雄傳之東成西就" "8.7" "百看不厌。 " "https://movie.douban.com/subject/1316510/" "疯狂动物城" "<U+00A0>/<U+00A0>Zootopia" "9.2" "0" "https://movie.douban.com/subject/25662329/" "卢旺达饭店" "<U+00A0>/<U+00A0>Hotel Rwanda" "8.8" "当这个世界闭上双眼，他却敞开了怀抱。" "https://movie.douban.com/subject/1291822/" "花样年华" "<U+00A0>/<U+00A0>花樣年華" "8.4" "偷情本没有这样美。" "https://movie.douban.com/subject/1291557/" "绿里奇迹" "<U+00A0>/<U+00A0>The Green Mile" "8.7" "天使暂时离开。" "https://movie.douban.com/subject/1300374/" "源代码" "<U+00A0>/<U+00A0>Source Code" "8.3" "邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。" "https://movie.douban.com/subject/3075287/" "偷拐抢骗" "<U+00A0>/<U+00A0>Snatch" "8.5" "典型盖·里奇式的英国黑色幽默黑帮片。" "https://movie.douban.com/subject/1301171/"
"9" "盗梦空间" "<U+00A0>/<U+00A0>Inception" "9.2" "诺兰给了我们一场无法盗取的梦。" "https://movie.douban.com/subject/3541415/" "蝙蝠侠：黑暗骑士" "<U+00A0>/<U+00A0>The Dark Knight" "9.0" "无尽的黑暗。" "https://movie.douban.com/subject/1851857/" "勇敢的心" "<U+00A0>/<U+00A0>Braveheart" "8.8" "史诗大片的典范。" "https://movie.douban.com/subject/1294639/" "重庆森林" "<U+00A0>/<U+00A0>重慶森林" "8.6" "寂寞没有期限。" "https://movie.douban.com/subject/1291999/" "海洋" "<U+00A0>/<U+00A0>Océans" "9.0" "大海啊，不全是水。" "https://movie.douban.com/subject/3443389/" "穿越时空的少女" "<U+00A0>/<U+00A0>時をかける少女" "8.6" "爱上未来的你。 " "https://movie.douban.com/subject/1937946/" "朗读者" "<U+00A0>/<U+00A0>The Reader" "8.5" "当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 " "https://movie.douban.com/subject/2213597/" "勇闯夺命岛" "<U+00A0>/<U+00A0>The Rock" "8.5" "类型片的极致。 " "https://movie.douban.com/subject/1292728/" "新龙门客栈" "<U+00A0>/<U+00A0>新龍門客棧" "8.4" "嬉笑怒骂，调风动月。" "https://movie.douban.com/subject/1292287/" "荒岛余生" "<U+00A0>/<U+00A0>Cast Away" "8.4" "一个人的独角戏。" "https://movie.douban.com/subject/1298653/"
"10" "机器人总动员" "<U+00A0>/<U+00A0>WALL·E" "9.3" "小瓦力，大人生。" "https://movie.douban.com/subject/2131459/" "星际穿越" "<U+00A0>/<U+00A0>Interstellar" "9.1" "爱是一种力量，让我们超越时空感知它的存在。" "https://movie.douban.com/subject/1889243/" "控方证人" "<U+00A0>/<U+00A0>Witness for the Prosecution" "9.6" "比利·怀德满分作品。" "https://movie.douban.com/subject/1296141/" "阳光姐妹淘" "<U+00A0>/<U+00A0><U+C368><U+B2C8>" "8.8" "再多各自牛逼的时光，也比不上一起傻逼的岁月。 " "https://movie.douban.com/subject/4917726/" "幸福终点站" "<U+00A0>/<U+00A0>The Terminal" "8.6" "有时候幸福需要等一等。 " "https://movie.douban.com/subject/1292274/" "黑天鹅" "<U+00A0>/<U+00A0>Black Swan" "8.5" "黑暗之美。" "https://movie.douban.com/subject/1978709/" "追随" "<U+00A0>/<U+00A0>Following" "9.0" "诺兰的牛逼来源于内心散发出的恐惧。" "https://movie.douban.com/subject/1397546/" "惊魂记" "<U+00A0>/<U+00A0>Psycho" "8.8" "故事的反转与反转，分裂电影的始祖。" "https://movie.douban.com/subject/1293181/" "黑客帝国3：矩阵革命" "<U+00A0>/<U+00A0>The Matrix Revolutions" "8.5" "不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。" "https://movie.douban.com/subject/1302467/" "夜访吸血鬼" "<U+00A0>/<U+00A0>Interview with the Vampire: The Vampire Chronicles" "8.3" "弥漫淡淡血腥气的优雅。" "https://movie.douban.com/subject/1299327/"
