"movie_title" "movie_detail" "movie_num" "movie_evaluate" "link"
"1" "肖申克的救赎" "
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...
                            1994 / 美国 / 犯罪 剧情
                        " "9.6" "820404人评价" "https://movie.douban.com/subject/1292052/"
"2" "这个杀手不太冷" "
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔丽·波特曼 ...
                            1994 / 法国 / 剧情 动作 犯罪
                        " "9.4" "787402人评价" "https://movie.douban.com/subject/1295644/"
"3" "霸王别姬" "
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...
                            1993 / 中国大陆 香港 / 剧情 爱情 同性
                        " "9.5" "585220人评价" "https://movie.douban.com/subject/1291546/"
"4" "阿甘正传" "
                            导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise
                            1994 / 美国 / 剧情 爱情
                        " "9.4" "675693人评价" "https://movie.douban.com/subject/1292720/"
"5" "美丽人生" "
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        " "9.5" "391869人评价" "https://movie.douban.com/subject/1292063/"
"6" "千与千寻" "
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...
                            2001 / 日本 / 剧情 动画 奇幻
                        " "9.2" "627382人评价" "https://movie.douban.com/subject/1291561/"
"7" "辛德勒的名单" "
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...
                            1993 / 美国 / 剧情 历史 战争
                        " "9.4" "362824人评价" "https://movie.douban.com/subject/1295124/"
"8" "泰坦尼克号" "
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...
                            1997 / 美国 / 剧情 爱情 灾难
                        " "9.2" "621817人评价" "https://movie.douban.com/subject/1292722/"
"9" "盗梦空间" "
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...
                            2010 / 美国 英国 / 剧情 动作 科幻 悬疑 冒险
                        " "9.2" "729691人评价" "https://movie.douban.com/subject/3541415/"
"10" "机器人总动员" "
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...
                            2008 / 美国 / 喜剧 爱情 科幻 动画 冒险
                        " "9.3" "479174人评价" "https://movie.douban.com/subject/2131459/"
"11" "海上钢琴师" "
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...
                            1998 / 意大利 / 剧情 音乐
                        " "9.2" "575018人评价" "https://movie.douban.com/subject/1292001/"
"12" "三傻大闹宝莱坞" "
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...
                            2009 / 印度 / 剧情 喜剧 爱情 歌舞
                        " "9.1" "635523人评价" "https://movie.douban.com/subject/3793023/"
"13" "忠犬八公的故事" "
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...
                            2009 / 美国 英国 / 剧情
                        " "9.2" "427622人评价" "https://movie.douban.com/subject/3011091/"
"14" "放牛班的春天" "
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra...
                            2004 / 法国 瑞士 德国 / 剧情 音乐
                        " "9.2" "430495人评价" "https://movie.douban.com/subject/1291549/"
"15" "大话西游之大圣娶亲" "
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 香港 中国大陆 / 动作 冒险 喜剧 奇幻 爱情
                        " "9.2" "462607人评价" "https://movie.douban.com/subject/1292213/"
"16" "教父" "
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...
                            1972 / 美国 / 剧情 犯罪
                        " "9.2" "328248人评价" "https://movie.douban.com/subject/1291841/"
"17" "龙猫" "
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...
                            1988 / 日本 / 动画 奇幻
                        " "9.1" "399225人评价" "https://movie.douban.com/subject/1291560/"
"18" "楚门的世界" "
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...
                            1998 / 美国 / 剧情 科幻
                        " "9.0" "425807人评价" "https://movie.douban.com/subject/1292064/"
"19" "乱世佳人" "
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 托...
                            1939 / 美国 / 剧情 爱情 战争
                        " "9.2" "260166人评价" "https://movie.douban.com/subject/1300267/"
"20" "天堂电影院" "
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel...
                            1988 / 意大利 法国 / 剧情 爱情
                        " "9.1" "297265人评价" "https://movie.douban.com/subject/1291828/"
"21" "当幸福来敲门" "
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...
                            2006 / 美国 / 剧情 传记 家庭
                        " "8.9" "515498人评价" "https://movie.douban.com/subject/1849031/"
"22" "触不可及" "
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...
                            2011 / 法国 / 剧情 喜剧
                        " "9.1" "348719人评价" "https://movie.douban.com/subject/6786002/"
"23" "搏击俱乐部" "
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...
                            1999 / 美国 德国 / 剧情 动作 悬疑 惊悚
                        " "9.0" "390067人评价" "https://movie.douban.com/subject/1292000/"
"24" "十二怒汉" "
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...
                            1957 / 美国 / 剧情
