"Õ½¶Ó","Íæ¼Ò","»÷É±","³¡¾ù»÷É±","±ÈÈü","Ê¤ÂÊ","KDA","ËÀÍö","³¡¾ùËÀÍö","Öú¹¥","³¡¾ùÖú¹¥"
"OG","Ana",223,9.29,24,0.625,4.26,108,4.5,237,9.88
"VP","Noone",196,10.32,19,0.7368,6.88,59,3.11,210,11.05
"Liquid","Miracle-",162,10.13,16,0.5625,3.66,82,5.13,138,8.63
"VP","Ramzes666",156,8.21,19,0.7368,7.84,51,2.68,244,12.84
"EG","Sumail",145,8.53,17,0.5294,5.23,64,3.76,190,11.18
"OG","N0tail",139,5.79,24,0.625,4.46,91,3.79,267,11.13
"VGJ","Agressif",138,9.2,15,0.5333,5.81,47,3.13,135,9
"EG","Arteezy",129,7.59,17,0.5294,5.42,64,3.76,218,12.82
"iG","BurNIng",126,7.41,17,0.5882,5.22,55,3.24,161,9.47
"TBirds","w33",124,8.86,14,0.4286,3.72,69,4.93,133,9.5
"iG","Op",121,7.12,17,0.5882,4.4,72,4.24,196,11.53
"Newbee","uuu9",119,9.92,12,0.4167,4.87,52,4.33,134,11.17
"Liquid","MATUMBAMAN",116,7.25,16,0.5625,5.5,62,3.88,225,14.06
"TBirds","resolut1on",113,8.07,14,0.4286,6.42,38,2.71,131,9.36
"VGJ","Freeze",112,7.47,15,0.5333,3.4,77,5.13,150,10
"Newbee","ScccØ¼",112,9.33,12,0.4167,4.66,59,4.92,163,13.58
"Random","Ìøµ¶Ìøµ¶Ø¼",111,7.93,14,0.3571,3.68,60,4.29,110,7.86
"SG","hfnk3",107,8.23,13,0.3077,3.29,65,5,107,8.23
"fL","Jabz",106,7.07,15,0.4,2.81,78,5.2,113,7.53
"TNC","KUKU^",101,7.77,13,0.5385,2.81,74,5.69,107,8.23
"Secret","MidOne",99,11,9,0.7778,5.38,34,3.78,84,9.33
"DC","Abed",99,8.25,12,0.4167,5.29,42,3.5,123,10.25
"fL","Black^",99,6.6,15,0.4,3.04,67,4.47,105,7
"TNC","Raven",97,7.46,13,0.5385,5.08,40,3.08,106,8.15
"SG","4dr",95,7.31,13,0.3077,3.42,66,5.08,131,10.08
"mouz","ThuG",91,7.58,12,0.3333,3.32,59,4.92,105,8.75
"OG","[A] s4",90,3.75,24,0.625,3.09,128,5.33,306,12.75
"DC","mason",90,7.5,12,0.4167,4.76,45,3.75,124,10.33
"VP","9Pasha",89,4.68,19,0.7368,4.59,74,3.89,251,13.21
"Liquid","MinD_ContRoL",83,5.19,16,0.5625,3.34,91,5.69,221,13.81
"iG","BoBoKa",79,4.65,17,0.5882,2.95,108,6.35,240,14.12
"EG","Universe",75,4.41,17,0.5294,4.7,66,3.88,235,13.82
"OG","Fly",70,2.92,24,0.625,2.99,126,5.25,307,12.79
"EG","zai",70,4.12,17,0.5294,3.73,92,5.41,273,16.06
"Secret","MP",69,7.67,9,0.7778,5.19,31,3.44,92,10.22
"Random","ShaDow",67,4.79,14,0.3571,2.92,62,4.43,114,8.14
"iG.V","Paparaziìá",65,6.5,10,0.2,2.69,51,5.1,72,7.2
"mouz","Madara",65,5.42,12,0.3333,2.56,75,6.25,127,10.58
"VP","Lil",64,3.37,19,0.7368,4.13,90,4.74,308,16.21
"OG","@jeraxai",62,2.58,24,0.625,3.22,121,5.04,328,13.67
"Liquid","KuroKy",60,3.75,16,0.5625,2.55,105,6.56,208,13
"VGJ","Fy",60,4,15,0.5333,2.61,88,5.87,170,11.33
"iG.V","Sakata",54,5.4,10,0.2,2.48,54,5.4,80,8
"mouz","Skylark",54,4.5,12,0.3333,2.97,65,5.42,139,11.58
"iG","Q",51,3,17,0.5882,2.75,104,6.12,235,13.82
"TNC","SamH",49,3.77,13,0.5385,3.21,63,4.85,153,11.77
"fL","iceiceice",49,3.27,15,0.4,2.54,80,5.33,154,10.27
"SG","tavo",48,3.69,13,0.3077,3.25,68,5.23,173,13.31
"EG","Cr1t",47,2.76,17,0.5294,2.53,110,6.47,231,13.59
"TBirds","MoonMeander",45,3.21,14,0.4286,2.39,95,6.79,182,13
"iG","Xxs",45,2.65,17,0.5882,3.52,69,4.06,198,11.65
"mouz","SsaSpartan",44,3.67,12,0.3333,2.19,94,7.83,162,13.5
"SG","Kingrd",43,3.31,13,0.3077,2.8,81,6.23,184,14.15
"DC","BuLba",42,3.5,12,0.4167,3.07,59,4.92,139,11.58
"TBirds","Saksa",42,3,14,0.4286,2.39,99,7.07,195,13.93
"mouz","Maybe Next Time",42,3.5,12,0.3333,2.48,77,6.42,149,12.42
"Random","Faith_bian",42,3,14,0.3571,2.85,73,5.21,166,11.86
"VGJ","Fenrir",41,2.73,15,0.5333,3.26,77,5.13,210,14
"Newbee","kpii",40,3.33,12,0.4167,3.26,68,5.67,182,15.17
"VP","KIS",40,2.11,19,0.7368,3.25,108,5.68,311,16.37
"TBirds","MiSeRY",40,2.86,14,0.4286,2.01,109,7.79,179,12.79
"Newbee","kaka",39,3.25,12,0.4167,2.68,90,7.5,202,16.83
"VGJ","rOtK",37,2.47,15,0.5333,3.03,80,5.33,205,13.67
"fL","NutZ",37,2.47,15,0.4,1.83,106,7.07,157,10.47
"Random","iceice",36,2.57,14,0.3571,2.17,87,6.21,153,10.93
"Random","y`",35,2.5,14,0.3571,2.61,74,5.29,158,11.29
"Liquid","gh",32,2,16,0.5625,2.07,119,7.44,214,13.38
"Newbee","Faith",32,2.67,12,0.4167,2.7,86,7.17,200,16.67
"SG","c4t",31,2.38,13,0.3077,2.22,91,7,171,13.15
"fL","xy-",31,2.07,15,0.4,1.98,96,6.4,159,10.6
"iG.V","super",29,2.9,10,0.2,2,58,5.8,87,8.7
"DC","Dubu",27,2.25,12,0.4167,2.13,85,7.08,154,12.83
"TNC","ryOyr",26,2,13,0.5385,2.66,65,5,147,11.31
"DC","@DeMoN",24,2,12,0.4167,1.91,86,7.17,140,11.67
"iG.V","InJuly",24,2.4,10,0.2,2.33,45,4.5,81,8.1
"Secret","pieliedie",22,2.44,9,0.7778,3.23,39,4.33,104,11.56
"TNC","Tims",22,1.69,13,0.5385,3.42,59,4.54,180,13.85
"Secret","KheZu",18,2,9,0.7778,5.07,28,3.11,124,13.78
"Secret","Puppey",17,1.89,9,0.7778,4.05,42,4.67,153,17
