"英雄","比赛","胜率","KDA","杀","死","助","正反补","反补总数","金钱/分钟","经验/分钟","Pick次数","Pick率","Pick胜率","平均Pick序位","Ban次数","Ban率","Ban胜率","平均Ban序位"
"艾欧",11,0.6364,3.5,3,5.09,14.82,52,0.36,287.73,329.82,11,0.0246,0.6364,1.9,50,0.1116,0.44,1.2
"暗夜魔王",8,0.5,3.69,4.5,5.25,14.88,120.5,3.5,365.5,474.75,8,0.0179,0.5,2.8,2,0.0045,1,3.5
"暗影萨满",6,0.3333,1.28,2.33,7.83,7.67,87.33,2.67,262.17,337,6,0.0134,0.3333,3,2,0.0045,0.5,4
"半人马战行者",10,0.6,4.07,2.7,4.1,14,208,9.3,413.5,477.7,10,0.0223,0.6,3.2,4,0.0089,0.5,3.3
"编织者",9,0.5556,7.39,9.56,2.56,9.33,305.67,13,595.78,654.78,9,0.0201,0.5556,4.2,15,0.0335,0.7333,3.9
"蝙蝠骑士",14,0.4286,3.63,4,5,14.14,121.79,3,339.07,412.21,14,0.0313,0.4286,3.4,9,0.0201,0.6667,3.8
"变体精灵",10,0.4,6.59,7.7,2.2,6.8,349.7,25.3,630.9,620.3,10,0.0223,0.4,4.8,4,0.0089,0.75,3.3
"不朽尸王",5,0.4,2.79,2,5.6,13.6,45,1.2,276.2,304,5,0.0112,0.4,2.8,1,0.0022,1,4
"潮汐猎人",1,0,4,2,3,10,226,3,359,504,1,0.0022,0,5,0,0,0,0
"沉默术士",12,0.25,2.57,3.5,5.83,11.5,129.92,5.83,330.75,372.17,12,0.0268,0.25,3.7,8,0.0179,0.375,4.8
"大地之灵",18,0.3333,2.54,2.5,6.56,14.17,41.11,1.33,274.44,346.28,18,0.0402,0.3333,2.9,24,0.0536,0.4583,2
"戴泽",14,0.4286,3.21,2.5,5.21,14.21,60.71,2.14,252,309.07,14,0.0313,0.4286,2.6,3,0.0067,0.3333,3.3
"敌法师",8,0.375,4.14,6.13,2.75,5.25,517.75,24.13,763,718.38,8,0.0179,0.375,4.6,6,0.0134,0.6667,4.5
"发条技师",13,0.2308,2.4,4.62,7.15,12.54,114.08,22.38,322,367.92,13,0.029,0.2308,2.2,8,0.0179,0.5,2
"伐木机",10,0.7,3.11,7.1,5.5,10,406.6,11.4,580.9,648.1,10,0.0223,0.7,4.5,13,0.029,0.8462,2.8
"风暴之灵",13,0.6154,3.81,7.46,5.15,12.15,331.69,7.54,548.92,605.69,13,0.029,0.6154,4.8,19,0.0424,0.3158,4.7
"风行者",6,0.8333,6.88,6,2.83,13.5,160.17,5.83,407,484.5,6,0.0134,0.8333,3.3,1,0.0022,0,5
"凤凰",14,0.5714,3.58,4.36,4.93,13.29,93.93,1.43,363.5,424.14,14,0.0313,0.5714,3.3,2,0.0045,0,3
"斧王",8,0.875,3.45,7.13,5,10.13,149.25,5.5,383,428,8,0.0179,0.875,3.3,13,0.029,0.7692,3.2
"复仇之魂",32,0.5,2.66,3.47,5.22,10.41,128.63,9.75,349.31,396.84,32,0.0714,0.5,2.6,30,0.067,0.6667,2.6
"干扰者",16,0.625,2.7,2.44,7.38,17.5,51.5,2.19,290.06,337.81,16,0.0357,0.625,3.2,5,0.0112,0.6,4.2
"钢背兽",7,0.5714,5.23,7.14,3.14,9.29,225.71,5.57,535,553,7,0.0156,0.5714,4.6,10,0.0223,0.6,3.2
"光之守卫",13,0.5385,2.09,2.69,7.92,13.85,156.31,0.85,354.92,365.08,13,0.029,0.5385,2.2,17,0.0379,0.5294,2.2
"哈斯卡",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0022,0,3
"寒冬飞龙",5,0.6,2.86,2.8,5.6,13.2,64,2,272.8,337.2,5,0.0112,0.6,3.4,2,0.0045,0.5,4
"撼地者",8,0.375,2.69,3.38,6.38,13.75,82.88,2,283.25,380.88,8,0.0179,0.375,3.1,0,0,0,0
"黑暗贤者",12,0.75,7.09,5.42,3.58,20,204.75,1.75,450.75,496.92,12,0.0268,0.75,2.8,16,0.0357,0.5625,2.4
"幻影刺客",10,0.3,3.7,8.1,4,6.7,247,14.4,542.1,591.6,10,0.0223,0.3,4,3,0.0067,0.6667,4.3
"幻影长矛手",4,0.5,4.2,8.75,3.75,7,326.75,13.75,595,622.75,4,0.0089,0.5,5,1,0.0022,1,4
"灰烬之灵",35,0.4857,4.51,8.31,4.51,12.06,288.63,6.66,532.43,620,35,0.0781,0.4857,3.6,38,0.0848,0.4737,3.8
"混沌骑士",2,1,9.5,11,2,8,358,12.5,609.5,553.5,2,0.0045,1,4.5,1,0.0022,1,3
"祸乱之源",4,0.75,4,2.75,3.75,12.25,23.75,3.75,257.25,372.25,4,0.0089,0.75,3.5,0,0,0,0
"杰奇洛",1,1,1.82,1,11,19,95,2,288,412,1,0.0022,1,4,0,0,0,0
"酒仙",2,0,1.91,1.5,5.5,9,131,3,277,339.5,2,0.0045,0,3,1,0.0022,1,5
"狙击手",2,1,9.5,12,3,16.5,327,17,622.5,597,2,0.0045,1,5,2,0.0045,0,5
"巨魔战将",13,0.3846,4.32,7,3.85,9.62,387.31,17.31,601.38,592.62,13,0.029,0.3846,4.2,11,0.0246,0.4545,3.8
"巨牙海民",10,0.6,2.63,2.5,6.8,15.4,50.9,1.2,278.3,419.1,10,0.0223,0.6,2.7,0,0,0,0
"剧毒术士",2,0.5,4.78,6,4.5,15.5,393.5,15,643.5,669.5,2,0.0045,0.5,5,2,0.0045,0,5
"军团指挥官",31,0.5161,3.04,4.26,5.06,11.13,159.65,5.1,373.58,471.48,31,0.0692,0.5161,1.9,43,0.096,0.5349,2.2
"克林克兹",3,0.3333,2.43,10.67,7,6.33,318,14.67,538,607,3,0.0067,0.3333,4.3,2,0.0045,0,3.5
"恐怖利刃",18,0.7778,4.78,8.22,3.78,9.83,381.06,9.89,679.06,546.72,18,0.0402,0.7778,3.8,41,0.0915,0.4878,3.8
"昆卡",4,0.25,3.94,3.25,4.25,13.5,54.75,2.25,245.5,320.75,4,0.0089,0.25,3.3,0,0,0,0
"拉比克",23,0.4783,2.23,2.35,6.26,11.61,60.22,1.17,291.91,306.13,23,0.0513,0.4783,2.4,14,0.0313,0.5714,3.1
"拉席克",1,0,2.25,4,8,14,148,4,315,393,1,0.0022,0,3,0,0,0,0
