Ranking	Movies	Popularity	Score	Link
1	肖申克的救赎	819840人评价	9.6	https://movie.douban.com/subject/1292052/
2	这个杀手不太冷	786871人评价	9.4	https://movie.douban.com/subject/1295644/
3	霸王别姬	584754人评价	9.5	https://movie.douban.com/subject/1291546/
4	阿甘正传	675233人评价	9.4	https://movie.douban.com/subject/1292720/
5	美丽人生	391529人评价	9.5	https://movie.douban.com/subject/1292063/
6	千与千寻	626954人评价	9.2	https://movie.douban.com/subject/1291561/
7	辛德勒的名单	362568人评价	9.4	https://movie.douban.com/subject/1295124/
8	泰坦尼克号	621400人评价	9.2	https://movie.douban.com/subject/1292722/
9	盗梦空间	729322人评价	9.2	https://movie.douban.com/subject/3541415/
10	机器人总动员	478926人评价	9.3	https://movie.douban.com/subject/2131459/
11	海上钢琴师	574673人评价	9.2	https://movie.douban.com/subject/1292001/
12	三傻大闹宝莱坞	634736人评价	9.1	https://movie.douban.com/subject/3793023/
13	忠犬八公的故事	427242人评价	9.2	https://movie.douban.com/subject/3011091/
14	放牛班的春天	430223人评价	9.2	https://movie.douban.com/subject/1291549/
15	大话西游之大圣娶亲	462219人评价	9.2	https://movie.douban.com/subject/1292213/
16	教父	328055人评价	9.2	https://movie.douban.com/subject/1291841/
17	龙猫	398944人评价	9.1	https://movie.douban.com/subject/1291560/
18	楚门的世界	425487人评价	9	https://movie.douban.com/subject/1292064/
19	乱世佳人	260016人评价	9.2	https://movie.douban.com/subject/1300267/
20	天堂电影院	297063人评价	9.1	https://movie.douban.com/subject/1291828/
21	当幸福来敲门	515190人评价	8.9	https://movie.douban.com/subject/1849031/
22	触不可及	348505人评价	9.1	https://movie.douban.com/subject/6786002/
23	搏击俱乐部	389868人评价	9	https://movie.douban.com/subject/1292000/
24	十二怒汉	161933人评价	9.3	https://movie.douban.com/subject/1293182/
25	无间道	377117人评价	9	https://movie.douban.com/subject/1307914/
Ranking	Movies	Popularity	Score	Link
26	指环王3：王者无敌	273412人评价	9.1	https://movie.douban.com/subject/1291552/
27	熔炉	227901人评价	9.2	https://movie.douban.com/subject/5912992/
28	怦然心动	513386人评价	8.9	https://movie.douban.com/subject/3319755/
29	天空之城	316247人评价	9	https://movie.douban.com/subject/1291583/
30	罗马假日	369073人评价	8.9	https://movie.douban.com/subject/1293839/
31	少年派的奇幻漂流	555703人评价	9	https://movie.douban.com/subject/1929463/
32	大话西游之月光宝盒	375909人评价	8.9	https://movie.douban.com/subject/1299398/
33	鬼子来了	214555人评价	9.1	https://movie.douban.com/subject/1291858/
