"movieNoTotal"      "movieNameTotal"      "movieScoreTotal"      "evaluNumberTotal"      "movieLinkTotal"
"1"      "1"      "肖申克的救赎"      "9.6"      "818917人评价"      "https://movie.douban.com/subject/1292052/"
"2"      "2"      "这个杀手不太冷"      "9.4"      "786051人评价"      "https://movie.douban.com/subject/1295644/"
"3"      "3"      "霸王别姬"      "9.5"      "584163人评价"      "https://movie.douban.com/subject/1291546/"
"4"      "4"      "阿甘正传"      "9.4"      "674560人评价"      "https://movie.douban.com/subject/1292720/"
"5"      "5"      "美丽人生"      "9.5"      "391038人评价"      "https://movie.douban.com/subject/1292063/"
"6"      "6"      "千与千寻"      "9.2"      "626335人评价"      "https://movie.douban.com/subject/1291561/"
"7"      "7"      "辛德勒的名单"      "9.4"      "362153人评价"      "https://movie.douban.com/subject/1295124/"
"8"      "8"      "泰坦尼克号"      "9.2"      "620756人评价"      "https://movie.douban.com/subject/1292722/"
"9"      "9"      "盗梦空间"      "9.2"      "728719人评价"      "https://movie.douban.com/subject/3541415/"
"10"      "10"      "机器人总动员"      "9.3"      "478545人评价"      "https://movie.douban.com/subject/2131459/"
"11"      "11"      "海上钢琴师"      "9.2"      "574163人评价"      "https://movie.douban.com/subject/1292001/"
"12"      "12"      "三傻大闹宝莱坞"      "9.1"      "633514人评价"      "https://movie.douban.com/subject/3793023/"
"13"      "13"      "忠犬八公的故事"      "9.2"      "426687人评价"      "https://movie.douban.com/subject/3011091/"
"14"      "14"      "放牛班的春天"      "9.2"      "429840人评价"      "https://movie.douban.com/subject/1291549/"
"15"      "15"      "大话西游之大圣娶亲"      "9.2"      "461513人评价"      "https://movie.douban.com/subject/1292213/"
"16"      "16"      "教父"      "9.2"      "327759人评价"      "https://movie.douban.com/subject/1291841/"
"17"      "17"      "龙猫"      "9.1"      "398617人评价"      "https://movie.douban.com/subject/1291560/"
"18"      "18"      "楚门的世界"      "9.0"      "424969人评价"      "https://movie.douban.com/subject/1292064/"
"19"      "19"      "乱世佳人"      "9.2"      "259806人评价"      "https://movie.douban.com/subject/1300267/"
"20"      "20"      "天堂电影院"      "9.1"      "296784人评价"      "https://movie.douban.com/subject/1291828/"
"21"      "21"      "当幸福来敲门"      "8.9"      "514672人评价"      "https://movie.douban.com/subject/1849031/"
"22"      "22"      "触不可及"      "9.1"      "348181人评价"      "https://movie.douban.com/subject/6786002/"
"23"      "23"      "搏击俱乐部"      "9.0"      "389601人评价"      "https://movie.douban.com/subject/1292000/"
"24"      "24"      "十二怒汉"      "9.3"      "161756人评价"      "https://movie.douban.com/subject/1293182/"
"25"      "25"      "无间道"      "9.0"      "376756人评价"      "https://movie.douban.com/subject/1307914/"
"26"      "26"      "指环王3：王者无敌"      "9.1"      "273171人评价"      "https://movie.douban.com/subject/1291552/"
"27"      "27"      "熔炉"      "9.2"      "227497人评价"      "https://movie.douban.com/subject/5912992/"
"28"      "28"      "怦然心动"      "8.9"      "512838人评价"      "https://movie.douban.com/subject/3319755/"
"29"      "29"      "天空之城"      "9.0"      "315973人评价"      "https://movie.douban.com/subject/1291583/"
"30"      "30"      "罗马假日"      "8.9"      "368752人评价"      "https://movie.douban.com/subject/1293839/"
"31"      "31"      "少年派的奇幻漂流"      "9.0"      "555307人评价"      "https://movie.douban.com/subject/1929463/"
"32"      "32"      "大话西游之月光宝盒"      "8.9"      "375524人评价"      "https://movie.douban.com/subject/1299398/"
"33"      "33"      "鬼子来了"      "9.1"      "214300人评价"      "https://movie.douban.com/subject/1291858/"
"34"      "34"      "蝙蝠侠：黑暗骑士"      "9.0"      "299340人评价"      "https://movie.douban.com/subject/1851857/"
"35"      "35"      "星际穿越"      "9.1"      "454994人评价"      "https://movie.douban.com/subject/1889243/"
"36"      "36"      "两杆大烟枪"      "9.0"      "261861人评价"      "https://movie.douban.com/subject/1293350/"
"37"      "37"      "飞屋环游记"      "8.9"      "477712人评价"      "https://movie.douban.com/subject/2129039/"
"38"      "38"      "活着"      "9.0"      "248191人评价"      "https://movie.douban.com/subject/1292365/"
"39"      "39"      "飞越疯人院"      "9.0"      "265532人评价"      "https://movie.douban.com/subject/1292224/"
"40"      "40"      "窃听风暴"      "9.1"      "209505人评价"      "https://movie.douban.com/subject/1900841/"
"41"      "41"      "海豚湾"      "9.3"      "175296人评价"      "https://movie.douban.com/subject/3442220/"
"42"      "42"      "闻香识女人"      "8.9"      "304895人评价"      "https://movie.douban.com/subject/1298624/"
"43"      "43"      "V字仇杀队"      "8.8"      "391046人评价"      "https://movie.douban.com/subject/1309046/"
"44"      "44"      "美丽心灵"      "8.9"      "290399人评价"      "https://movie.douban.com/subject/1306029/"
"45"      "45"      "教父2"      "9.1"      "176739人评价"      "https://movie.douban.com/subject/1299131/"
"46"      "46"      "哈尔的移动城堡"      "8.8"      "327266人评价"      "https://movie.douban.com/subject/1308807/"
"47"      "47"      "指环王2：双塔奇兵"      "8.9"      "258143人评价"      "https://movie.douban.com/subject/1291572/"
"48"      "48"      "指环王1：魔戒再现"      "8.9"      "287939人评价"      "https://movie.douban.com/subject/1291571/"
"49"      "49"      "天使爱美丽"      "8.7"      "460740人评价"      "https://movie.douban.com/subject/1292215/"
"50"      "50"      "情书"      "8.8"      "353356人评价"      "https://movie.douban.com/subject/1292220/"
"51"      "51"      "死亡诗社"      "8.9"      "260156人评价"      "https://movie.douban.com/subject/1291548/"
"52"      "52"      "美国往事"      "9.1"      "164770人评价"      "https://movie.douban.com/subject/1292262/"
"53"      "53"      "七宗罪"      "8.7"      "415014人评价"      "https://movie.douban.com/subject/1292223/"
"54"      "54"      "钢琴家"      "9.0"      "192372人评价"      "https://movie.douban.com/subject/1296736/"
"55"      "55"      "狮子王"      "8.9"      "266555人评价"      "https://movie.douban.com/subject/1301753/"
"56"      "56"      "被嫌弃的松子的一生"      "8.9"      "259247人评价"      "https://movie.douban.com/subject/1787291/"
"57"      "57"      "致命魔术"      "8.8"      "320344人评价"      "https://movie.douban.com/subject/1780330/"
"58"      "58"      "辩护人"      "9.1"      "182984人评价"      "https://movie.douban.com/subject/21937445/"
"59"      "59"      "勇敢的心"      "8.8"      "283312人评价"      "https://movie.douban.com/subject/1294639/"
"60"      "60"      "控方证人"      "9.6"      "72663人评价"      "https://movie.douban.com/subject/1296141/"
"61"      "61"      "剪刀手爱德华"      "8.7"      "459457人评价"      "https://movie.douban.com/subject/1292370/"
"62"      "62"      "小鞋子"      "9.2"      "126925人评价"      "https://movie.douban.com/subject/1303021/"
"63"      "63"      "饮食男女"      "9.0"      "175881人评价"      "https://movie.douban.com/subject/1291818/"
"64"      "64"      "音乐之声"      "8.9"      "220109人评价"      "https://movie.douban.com/subject/1294408/"
"65"      "65"      "低俗小说"      "8.7"      "312201人评价"      "https://movie.douban.com/subject/1291832/"
"66"      "66"      "入殓师"      "8.8"      "304207人评价"      "https://movie.douban.com/subject/2149806/"
"67"      "67"      "本杰明·巴顿奇事"      "8.7"      "372607人评价"      "https://movie.douban.com/subject/1485260/"
"68"      "68"      "沉默的羔羊"      "8.7"      "330752人评价"      "https://movie.douban.com/subject/1293544/"
"69"      "69"      "蝴蝶效应"      "8.7"      "360172人评价"      "https://movie.douban.com/subject/1292343/"
"70"      "70"      "黑客帝国"      "8.8"      "262316人评价"      "https://movie.douban.com/subject/1291843/"
"71"      "71"      "拯救大兵瑞恩"      "8.8"      "220468人评价"      "https://movie.douban.com/subject/1292849/"
"72"      "72"      "玛丽和马克思"      "8.9"      "223611人评价"      "https://movie.douban.com/subject/3072124/"
"73"      "73"      "西西里的美丽传说"      "8.7"      "320260人评价"      "https://movie.douban.com/subject/1292402/"
"74"      "74"      "素媛"      "9.1"      "158146人评价"      "https://movie.douban.com/subject/21937452/"
"75"      "75"      "心灵捕手"      "8.7"      "251732人评价"      "https://movie.douban.com/subject/1292656/"
"76"      "76"      "幽灵公主"      "8.8"      "220068人评价"      "https://movie.douban.com/subject/1297359/"
"77"      "77"      "第六感"      "8.8"      "218557人评价"      "https://movie.douban.com/subject/1297630/"
"78"      "78"      "阳光灿烂的日子"      "8.7"      "253175人评价"      "https://movie.douban.com/subject/1291875/"
"79"      "79"      "让子弹飞"      "8.7"      "589633人评价"      "https://movie.douban.com/subject/3742360/"
"80"      "80"      "春光乍泄"      "8.8"      "225114人评价"      "https://movie.douban.com/subject/1292679/"
"81"      "81"      "大鱼"      "8.7"      "235563人评价"      "https://movie.douban.com/subject/1291545/"
"82"      "82"      "大闹天宫"      "9.2"      "89795人评价"      "https://movie.douban.com/subject/1418019/"
"83"      "83"      "射雕英雄传之东成西就"      "8.7"      "257840人评价"      "https://movie.douban.com/subject/1316510/"
"84"      "84"      "重庆森林"      "8.6"      "302850人评价"      "https://movie.douban.com/subject/1291999/"
"85"      "85"      "阳光姐妹淘"      "8.8"      "250850人评价"      "https://movie.douban.com/subject/4917726/"
"86"      "86"      "上帝之城"      "8.9"      "149405人评价"      "https://movie.douban.com/subject/1292208/"
"87"      "87"      "甜蜜蜜"      "8.7"      "218181人评价"      "https://movie.douban.com/subject/1305164/"
"88"      "88"      "禁闭岛"      "8.6"      "332491人评价"      "https://movie.douban.com/subject/2334904/"
"89"      "89"      "致命ID"      "8.6"      "294236人评价"      "https://movie.douban.com/subject/1297192/"
"90"      "90"      "告白"      "8.6"      "317651人评价"      "https://movie.douban.com/subject/4268598/"
"91"      "91"      "一一"      "8.9"      "143104人评价"      "https://movie.douban.com/subject/1292434/"
"92"      "92"      "加勒比海盗"      "8.6"      "311165人评价"      "https://movie.douban.com/subject/1298070/"
"93"      "93"      "爱在黎明破晓前"      "8.7"      "203047人评价"      "https://movie.douban.com/subject/1296339/"
"94"      "94"      "狩猎"      "9.0"      "111532人评价"      "https://movie.douban.com/subject/6985810/"
"95"      "95"      "布达佩斯大饭店"      "8.7"      "281662人评价"      "https://movie.douban.com/subject/11525673/"
"96"      "96"      "阿凡达"      "8.6"      "498594人评价"      "https://movie.douban.com/subject/1652587/"
"97"      "97"      "断背山"      "8.6"      "297734人评价"      "https://movie.douban.com/subject/1418834/"
"98"      "98"      "风之谷"      "8.8"      "164318人评价"      "https://movie.douban.com/subject/1291585/"
"99"      "99"      "萤火虫之墓"      "8.7"      "190820人评价"      "https://movie.douban.com/subject/1293318/"
"100"      "100"      "摩登时代"      "9.2"      "79606人评价"      "https://movie.douban.com/subject/1294371/"
"101"      "101"      "爱在日落黄昏时"      "8.7"      "185423人评价"      "https://movie.douban.com/subject/1291990/"
"102"      "102"      "猫鼠游戏"      "8.7"      "200861人评价"      "https://movie.douban.com/subject/1305487/"
"103"      "103"      "侧耳倾听"      "8.8"      "154627人评价"      "https://movie.douban.com/subject/1297052/"
