"title" "link" "director" "star" "quote"
"1" "肖申克的救赎" "https://movie.douban.com/subject/1292052/" "
                            导演: 弗兰克·德拉邦特 Frank Darabont<U+00A0><U+00A0><U+00A0>主演: 蒂姆·罗宾斯 Tim Robbins /...
                            1994<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>犯罪 剧情
                        " "9.6" "希望让人自由。"
"2" "这个杀手不太冷" "https://movie.douban.com/subject/1295644/" "
                                希望让人自由。
                            " "9.4" "怪蜀黍和小萝莉不得不说的故事。"
"3" "霸王别姬" "https://movie.douban.com/subject/1291546/" "
                            导演: 吕克·贝松 Luc Besson<U+00A0><U+00A0><U+00A0>主演: 让·雷诺 Jean Reno / 娜塔丽·波特曼 ...
                            1994<U+00A0>/<U+00A0>法国<U+00A0>/<U+00A0>剧情 动作 犯罪
                        " "9.5" "风华绝代。"
"4" "阿甘正传" "https://movie.douban.com/subject/1292720/" "
                                怪蜀黍和小萝莉不得不说的故事。
                            " "9.4" "一部美国近现代史。"
"5" "美丽人生" "https://movie.douban.com/subject/1292063/" "
                            导演: 陈凯歌 Kaige Chen<U+00A0><U+00A0><U+00A0>主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...
                            1993<U+00A0>/<U+00A0>中国大陆 香港<U+00A0>/<U+00A0>剧情 爱情 同性
                        " "9.5" "最美的谎言。"
"6" "千与千寻" "https://movie.douban.com/subject/1291561/" "
                                风华绝代。
                            " "9.2" "最好的宫崎骏，最好的久石让。 "
"7" "辛德勒的名单" "https://movie.douban.com/subject/1295124/" "
                            导演: Robert Zemeckis<U+00A0><U+00A0><U+00A0>主演: Tom Hanks / Robin Wright Penn / Gary Sinise
                            1994<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 爱情
                        " "9.4" "拯救一个人，就是拯救整个世界。"
"8" "泰坦尼克号" "https://movie.douban.com/subject/1292722/" "
                                一部美国近现代史。
                            " "9.2" "失去的才是永恒的。 "
"9" "盗梦空间" "https://movie.douban.com/subject/3541415/" "
                            导演: 罗伯托·贝尼尼 Roberto Benigni<U+00A0><U+00A0><U+00A0>主演: 罗伯托·贝尼尼 Roberto Beni...
                            1997<U+00A0>/<U+00A0>意大利<U+00A0>/<U+00A0>剧情 喜剧 爱情 战争
                        " "9.2" "诺兰给了我们一场无法盗取的梦。"
"10" "机器人总动员" "https://movie.douban.com/subject/2131459/" "
                                最美的谎言。
                            " "9.3" "小瓦力，大人生。"
"11" "海上钢琴师" "https://movie.douban.com/subject/1292001/" "
                            导演: 宫崎骏 Hayao Miyazaki<U+00A0><U+00A0><U+00A0>主演: 柊瑠美 Rumi H<U+00EE>ragi / 入野自由 Miy...
                            2001<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>剧情 动画 奇幻
                        " "9.2" "每个人都要走一条自己坚定了的路，就算是粉身碎骨。 "
"12" "三傻大闹宝莱坞" "https://movie.douban.com/subject/3793023/" "
                                最好的宫崎骏，最好的久石让。 
