,movie_title,link,number_of_rating,rating
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,820404人评价,9.6
2,这个杀手不太冷,https://movie.douban.com/subject/1295644/,787402人评价,9.4
3,霸王别姬,https://movie.douban.com/subject/1291546/,585220人评价,9.5
4,阿甘正传,https://movie.douban.com/subject/1292720/,675693人评价,9.4
5,美丽人生,https://movie.douban.com/subject/1292063/,391869人评价,9.5
6,千与千寻,https://movie.douban.com/subject/1291561/,627382人评价,9.2
7,辛德勒的名单,https://movie.douban.com/subject/1295124/,362824人评价,9.4
8,泰坦尼克号,https://movie.douban.com/subject/1292722/,621817人评价,9.2
9,盗梦空间,https://movie.douban.com/subject/3541415/,729691人评价,9.2
10,机器人总动员,https://movie.douban.com/subject/2131459/,479174人评价,9.3
11,海上钢琴师,https://movie.douban.com/subject/1292001/,575018人评价,9.2
12,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,635523人评价,9.1
13,忠犬八公的故事,https://movie.douban.com/subject/3011091/,427622人评价,9.2
14,放牛班的春天,https://movie.douban.com/subject/1291549/,430495人评价,9.2
15,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,462607人评价,9.2
16,教父,https://movie.douban.com/subject/1291841/,328248人评价,9.2
17,龙猫,https://movie.douban.com/subject/1291560/,399225人评价,9.1
18,楚门的世界,https://movie.douban.com/subject/1292064/,425807人评价,9
19,乱世佳人,https://movie.douban.com/subject/1300267/,260166人评价,9.2
20,天堂电影院,https://movie.douban.com/subject/1291828/,297265人评价,9.1
21,当幸福来敲门,https://movie.douban.com/subject/1849031/,515498人评价,8.9
22,触不可及,https://movie.douban.com/subject/6786002/,348719人评价,9.1
23,搏击俱乐部,https://movie.douban.com/subject/1292000/,390067人评价,9
24,十二怒汉,https://movie.douban.com/subject/1293182/,162051人评价,9.3
25,无间道,https://movie.douban.com/subject/1307914/,377355人评价,9
26,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,273496人评价,9.1
27,熔炉,https://movie.douban.com/subject/5912992/,228217人评价,9.2
28,怦然心动,https://movie.douban.com/subject/3319755/,513754人评价,8.9
29,天空之城,https://movie.douban.com/subject/1291583/,316442人评价,9
30,罗马假日,https://movie.douban.com/subject/1293839/,369289人评价,8.9
31,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,555982人评价,9
32,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,376156人评价,8.9
33,鬼子来了,https://movie.douban.com/subject/1291858/,214724人评价,9.1
34,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,299794人评价,9
35,星际穿越,https://movie.douban.com/subject/1889243/,455716人评价,9.1
36,两杆大烟枪,https://movie.douban.com/subject/1293350/,262220人评价,9
37,飞屋环游记,https://movie.douban.com/subject/2129039/,478241人评价,8.9
38,活着,https://movie.douban.com/subject/1292365/,248763人评价,9
39,飞越疯人院,https://movie.douban.com/subject/1292224/,265888人评价,9
40,窃听风暴,https://movie.douban.com/subject/1900841/,209864人评价,9.1
41,海豚湾,https://movie.douban.com/subject/3442220/,175486人评价,9.3
42,闻香识女人,https://movie.douban.com/subject/1298624/,305397人评价,8.9
43,V字仇杀队,https://movie.douban.com/subject/1309046/,391614人评价,8.8
44,美丽心灵,https://movie.douban.com/subject/1306029/,290816人评价,8.9
45,教父2,https://movie.douban.com/subject/1299131/,177014人评价,9.1
46,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,327781人评价,8.8
47,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,258469人评价,8.9
48,指环王1：魔戒再现,https://movie.douban.com/subject/1291571/,288324人评价,8.9
49,天使爱美丽,https://movie.douban.com/subject/1292215/,461275人评价,8.7
50,情书,https://movie.douban.com/subject/1292220/,353896人评价,8.8
51,死亡诗社,https://movie.douban.com/subject/1291548/,260626人评价,8.9
52,美国往事,https://movie.douban.com/subject/1292262/,165030人评价,9.1
53,七宗罪,https://movie.douban.com/subject/1292223/,415498人评价,8.7
54,钢琴家,https://movie.douban.com/subject/1296736/,192627人评价,9
55,狮子王,https://movie.douban.com/subject/1301753/,266904人评价,8.9
56,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,259757人评价,8.9
57,致命魔术,https://movie.douban.com/subject/1780330/,320780人评价,8.8
58,辩护人,https://movie.douban.com/subject/21937445/,183400人评价,9.1
59,勇敢的心,https://movie.douban.com/subject/1294639/,283607人评价,8.8
60,控方证人,https://movie.douban.com/subject/1296141/,73063人评价,9.6
61,剪刀手爱德华,https://movie.douban.com/subject/1292370/,459966人评价,8.7
62,小鞋子,https://movie.douban.com/subject/1303021/,127139人评价,9.2
63,饮食男女,https://movie.douban.com/subject/1291818/,176351人评价,9
64,音乐之声,https://movie.douban.com/subject/1294408/,220407人评价,8.9
65,低俗小说,https://movie.douban.com/subject/1291832/,312709人评价,8.7
66,入殓师,https://movie.douban.com/subject/2149806/,304510人评价,8.8
67,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,373027人评价,8.7
68,沉默的羔羊,https://movie.douban.com/subject/1293544/,331221人评价,8.7
69,蝴蝶效应,https://movie.douban.com/subject/1292343/,360588人评价,8.7
70,黑客帝国,https://movie.douban.com/subject/1291843/,262683人评价,8.8
71,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,220858人评价,8.8
72,玛丽和马克思,https://movie.douban.com/subject/3072124/,223812人评价,8.9
73,西西里的美丽传说,https://movie.douban.com/subject/1292402/,320774人评价,8.7
74,素媛,https://movie.douban.com/subject/21937452/,158562人评价,9.1
75,心灵捕手,https://movie.douban.com/subject/1292656/,252186人评价,8.7
76,幽灵公主,https://movie.douban.com/subject/1297359/,220388人评价,8.8
77,第六感,https://movie.douban.com/subject/1297630/,218887人评价,8.8
78,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,253509人评价,8.7
79,让子弹飞,https://movie.douban.com/subject/3742360/,590210人评价,8.7
80,春光乍泄,https://movie.douban.com/subject/1292679/,225541人评价,8.8
81,大鱼,https://movie.douban.com/subject/1291545/,235914人评价,8.7
82,大闹天宫,https://movie.douban.com/subject/1418019/,89972人评价,9.2
83,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,258235人评价,8.7
84,重庆森林,https://movie.douban.com/subject/1291999/,303414人评价,8.6
85,阳光姐妹淘,https://movie.douban.com/subject/4917726/,251187人评价,8.8
86,上帝之城,https://movie.douban.com/subject/1292208/,149604人评价,8.9
87,甜蜜蜜,https://movie.douban.com/subject/1305164/,218618人评价,8.7
88,禁闭岛,https://movie.douban.com/subject/2334904/,333003人评价,8.6
89,致命ID,https://movie.douban.com/subject/1297192/,294765人评价,8.6
90,告白,https://movie.douban.com/subject/4268598/,318058人评价,8.6
91,一一,https://movie.douban.com/subject/1292434/,143348人评价,8.9
92,加勒比海盗,https://movie.douban.com/subject/1298070/,311687人评价,8.6
93,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,203381人评价,8.7
94,狩猎,https://movie.douban.com/subject/6985810/,111845人评价,9
95,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,282097人评价,8.7
96,阿凡达,https://movie.douban.com/subject/1652587/,499166人评价,8.6
97,断背山,https://movie.douban.com/subject/1418834/,298056人评价,8.6
98,风之谷,https://movie.douban.com/subject/1291585/,164522人评价,8.8
99,萤火虫之墓,https://movie.douban.com/subject/1293318/,191073人评价,8.7
100,摩登时代,https://movie.douban.com/subject/1294371/,79763人评价,9.2
101,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,185662人评价,8.7
102,猫鼠游戏,https://movie.douban.com/subject/1305487/,201196人评价,8.7
103,侧耳倾听,https://movie.douban.com/subject/1297052/,154873人评价,8.8
104,末代皇帝,https://movie.douban.com/subject/1293172/,146902人评价,8.8
105,驯龙高手,https://movie.douban.com/subject/2353023/,266185人评价,8.7
106,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,228360人评价,8.6
107,超脱,https://movie.douban.com/subject/5322596/,159002人评价,8.7
108,疯狂动物城,https://movie.douban.com/subject/25662329/,453303人评价,9.2
109,海洋,https://movie.douban.com/subject/3443389/,94749人评价,9
110,幸福终点站,https://movie.douban.com/subject/1292274/,212943人评价,8.6
111,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,126585人评价,8.8
112,燃情岁月,https://movie.douban.com/subject/1295865/,141947人评价,8.8
113,菊次郎的夏天,https://movie.douban.com/subject/1293359/,164687人评价,8.7
114,倩女幽魂,https://movie.douban.com/subject/1297447/,227646人评价,8.6
115,消失的爱人,https://movie.douban.com/subject/21318488/,321761人评价,8.7
116,神偷奶爸,https://movie.douban.com/subject/3287562/,344046人评价,8.5
117,电锯惊魂,https://movie.douban.com/subject/1417598/,185398人评价,8.6
118,谍影重重3,https://movie.douban.com/subject/1578507/,168756人评价,8.7
119,真爱至上,https://movie.douban.com/subject/1292401/,291518人评价,8.5
120,岁月神偷,https://movie.douban.com/subject/3792799/,288402人评价,8.6
121,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,201045人评价,8.7
122,雨人,https://movie.douban.com/subject/1291870/,197592人评价,8.6
123,虎口脱险,https://movie.douban.com/subject/1296909/,100713人评价,8.9
124,七武士,https://movie.douban.com/subject/1295399/,69745人评价,9.1
125,恐怖直播,https://movie.douban.com/subject/21360417/,193709人评价,8.7
